function_rank,function_share,cumulative_bugfix_share
254,0.005715700173271226,0.028116092251878725
255,0.005738202929858907,0.028116092251878725
256,0.005760705686446589,0.028116092251878725
257,0.005783208443034271,0.028116092251878725
258,0.005805711199621953,0.028116092251878725
259,0.005828213956209635,0.02837522674267945
260,0.005850716712797317,0.028504793988079813
261,0.0058732194693849995,0.028504793988079813
262,0.0058957222259726815,0.028504793988079813
263,0.0059182249825603635,0.028504793988079813
264,0.0059407277391480455,0.02915263021508163
265,0.0059632304957357276,0.029541331951282716
266,0.00598573325232341,0.02980046644208344
267,0.006008236008911092,0.030059600932884168
268,0.006030738765498774,0.03018916817828453
269,0.006053241522086456,0.030318735423684892
270,0.006075744278674138,0.030448302669085256
271,0.00609824703526182,0.030448302669085256
272,0.006120749791849502,0.030448302669085256
273,0.006143252548437184,0.030448302669085256
274,0.006165755305024866,0.030448302669085256
275,0.006188258061612548,0.030448302669085256
276,0.00621076081820023,0.030448302669085256
277,0.006233263574787912,0.030448302669085256
278,0.006255766331375594,0.030448302669085256
279,0.006278269087963275,0.030448302669085256
280,0.006300771844550957,0.030448302669085256
281,0.006323274601138639,0.030966571650686708
282,0.006345777357726321,0.03148484063228816
283,0.006368280114314003,0.03174397512308888
284,0.006390782870901685,0.03174397512308888
285,0.006413285627489367,0.03174397512308888
286,0.006435788384077049,0.03174397512308888
287,0.006458291140664731,0.03174397512308888
288,0.006480793897252413,0.03174397512308888
289,0.006503296653840095,0.03174397512308888
290,0.006525799410427777,0.03174397512308888
291,0.006548302167015459,0.03174397512308888
292,0.006570804923603141,0.03174397512308888
293,0.0065933076801908234,0.03174397512308888
294,0.0066158104367785055,0.03174397512308888
295,0.0066383131933661875,0.03174397512308888
296,0.0066608159499538695,0.03174397512308888
297,0.0066833187065415516,0.03174397512308888
298,0.006705821463129234,0.03174397512308888
299,0.006728324219716916,0.03174397512308888
300,0.006750826976304598,0.03174397512308888
301,0.00677332973289228,0.0323918113500907
302,0.006795832489479962,0.03291008033169215
303,0.006818335246067644,0.03329878206789324
304,0.006840838002655325,0.03368748380409432
305,0.006863340759243007,0.034076185540295414
306,0.006885843515830689,0.0344648872764965
307,0.006908346272418371,0.034724021767297227
308,0.006930849029006053,0.03485358901269759
309,0.006953351785593735,0.034983156258097954
310,0.006975854542181417,0.034983156258097954
311,0.006998357298769099,0.034983156258097954
312,0.007020860055356781,0.034983156258097954
313,0.007043362811944463,0.034983156258097954
314,0.007065865568532145,0.034983156258097954
315,0.007088368325119827,0.034983156258097954
316,0.007110871081707509,0.034983156258097954
317,0.007133373838295191,0.034983156258097954
318,0.007155876594882873,0.034983156258097954
319,0.007178379351470555,0.034983156258097954
320,0.007200882108058237,0.034983156258097954
321,0.007223384864645919,0.034983156258097954
322,0.007245887621233601,0.034983156258097954
323,0.007268390377821283,0.034983156258097954
324,0.007290893134408965,0.034983156258097954
325,0.0073133958909966474,0.034983156258097954
